   136/149     8.46G   0.03326   0.02946   0.01093   0.07365        19       640    0.5626     0.891    0.8602    0.5701   0.02773   0.01738  0.003299
   137/149     8.46G   0.03343   0.02981   0.01081   0.07406         6       640    0.5647    0.8918    0.8611    0.5708   0.02769   0.01735  0.003277
   138/149     8.46G   0.03319   0.02986   0.01046   0.07351        17       640     0.566    0.8928     0.862    0.5718   0.02765   0.01732  0.003254
   139/149     8.46G   0.03343   0.02962   0.01093   0.07399        20       640    0.5668    0.8934    0.8629    0.5732   0.02761   0.01729  0.003232
   140/149     8.46G   0.03295   0.02945   0.01072   0.07311        17       640    0.5685    0.8941    0.8641    0.5742   0.02757   0.01726  0.003211
   141/149     8.46G   0.03322   0.02965   0.01065   0.07352        13       640    0.5696    0.8946    0.8649     0.575   0.02754   0.01723   0.00319
   142/149     8.46G   0.03329    0.0297   0.01056   0.07356        14       640    0.5706    0.8951    0.8659    0.5757    0.0275    0.0172   0.00317
   143/149     8.46G   0.03309   0.02925   0.01081   0.07316        17       640    0.5712    0.8953    0.8667    0.5768   0.02746   0.01717   0.00315
   144/149     8.46G   0.03292   0.02977    0.0106   0.07329        20       640    0.5732    0.8957    0.8674    0.5778   0.02742   0.01714  0.003131
   145/149     8.46G    0.0329   0.02973   0.01038   0.07301        18       640    0.5742    0.8961    0.8683    0.5791   0.02738   0.01711  0.003113
   146/149     8.46G   0.03273   0.02942   0.01023   0.07238        19       640     0.576    0.8966     0.869    0.5799   0.02734   0.01709  0.003093
   147/149     8.46G   0.03297   0.02961   0.01043   0.07301        26       640    0.5768    0.8982    0.8702    0.5805    0.0273   0.01706  0.003073
   148/149     8.46G   0.03287   0.02935   0.01043   0.07265        17       640    0.5781    0.8984    0.8708    0.5816   0.02726   0.01703  0.003054
   149/149     8.46G   0.03307   0.02921   0.01067   0.07294        13       640    0.5789    0.8984    0.8716    0.5827   0.02722     0.017  0.003033
